id,wage,log_wage,education,experience,exp_squared,age,female,public_sector,city_size,contract_type,num_children,unionized,hours
1,1248,7.1293,15,4,16,29,1,0,small,permanent,3,0,35
2,2247,7.7174,16,9,81,35,0,0,large,permanent,2,0,38
3,1299,7.1694,12,7,49,30,0,0,small,permanent,1,1,48
4,1300,7.1701,9,20,400,40,0,0,rural,permanent,1,0,42
5,1840,7.5175,12,21,441,43,0,0,small,self_employed,1,0,37
6,2373,7.7719,11,29,841,52,0,0,large,permanent,1,0,32
7,2315,7.7472,16,28,784,55,1,0,large,fixed_term,0,0,37
8,3087,8.035,16,24,576,50,1,0,small,permanent,2,0,40
9,2236,7.7124,14,21,441,43,0,0,large,permanent,1,0,36
10,2162,7.6788,14,22,484,45,1,0,large,permanent,3,0,31
11,2160,7.6779,8,31,961,50,0,1,small,permanent,1,0,44
12,1668,7.4194,17,5,25,30,0,0,small,fixed_term,0,0,43
13,1859,7.5278,15,12,144,38,1,0,large,fixed_term,2,0,36
14,1782,7.4855,20,4,16,34,0,0,small,self_employed,2,0,39
15,3279,8.0953,16,45,2025,65,1,1,large,self_employed,1,0,45
16,2747,7.9183,15,22,484,47,1,1,small,fixed_term,0,0,34
17,2234,7.7115,14,13,169,37,1,1,large,permanent,1,0,37
18,894,6.7957,12,0,0,22,0,0,small,permanent,1,0,36
19,1619,7.3896,16,6,36,32,1,1,small,self_employed,1,0,40
20,2997,8.0054,16,13,169,38,0,1,large,permanent,1,0,42
21,2884,7.9669,12,32,1024,53,0,1,large,fixed_term,1,0,39
22,1630,7.3963,10,33,1089,54,0,0,small,permanent,0,0,38
23,4037,8.3033,20,31,961,62,0,1,small,permanent,0,0,37
24,1835,7.5148,12,17,289,39,1,0,small,permanent,1,0,35
25,1844,7.5197,13,8,64,30,1,0,large,fixed_term,0,1,41
26,2459,7.8075,17,36,1296,64,0,0,rural,fixed_term,1,0,45
27,2759,7.9226,17,25,625,52,1,1,small,fixed_term,2,0,39
28,2841,7.9519,15,18,324,41,0,0,large,permanent,1,0,37
29,1463,7.2882,13,15,225,39,1,0,large,permanent,2,0,40
30,1407,7.2492,13,27,729,52,1,0,large,permanent,0,0,36
31,1099,7.0022,13,10,100,32,1,0,large,permanent,2,0,49
32,1623,7.392,17,11,121,39,1,0,large,fixed_term,0,0,36
33,1223,7.1091,12,14,196,36,1,0,large,fixed_term,2,1,44
34,2256,7.7213,14,33,1089,57,0,1,rural,self_employed,2,0,36
35,3789,8.2399,18,18,324,46,1,1,small,fixed_term,1,0,31
36,2156,7.676,13,26,676,49,1,1,large,permanent,1,0,50
